marker	role_label	category	term	description	fdr	is_member	role_code
ACTG1	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
VWF	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
DNAH9	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
GPX3	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
C4B	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
CD44	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
CFHR2	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
ITIH3	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
LRG1	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	True	R1
MYH7B	COMPARTMENTS: Extracellular membrane-bounded organelle (FDR 8.9e-05)	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	False	R1
ACTG1	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
VWF	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
DNAH9	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
GPX3	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
C4B	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
CD44	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
CFHR2	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
ITIH3	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
LRG1	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	True	R2
MYH7B	COMPARTMENTS: Extracellular vesicle (FDR 8.9e-05)	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	False	R2
ACTG1	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
VWF	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
DNAH9	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	False	R3
GPX3	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
C4B	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
CD44	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
CFHR2	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
ITIH3	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
LRG1	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	True	R3
MYH7B	COMPARTMENTS: Extracellular region (FDR 3.3e-04)	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	False	R3
ACTG1	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
VWF	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
DNAH9	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
GPX3	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
C4B	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
CD44	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
CFHR2	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
ITIH3	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
LRG1	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	True	R4
MYH7B	COMPARTMENTS: Extracellular exosome (FDR 5.3e-04)	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	False	R4
ACTG1	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
VWF	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
DNAH9	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
GPX3	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
C4B	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
CD44	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
CFHR2	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
ITIH3	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
LRG1	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
MYH7B	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
ACTG1	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
VWF	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
DNAH9	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	False	R6
GPX3	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
C4B	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
CD44	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
CFHR2	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	False	R6
ITIH3	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
LRG1	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
MYH7B	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	False	R6
ACTG1	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	True	R7
VWF	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
DNAH9	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
GPX3	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	True	R7
C4B	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
CD44	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
CFHR2	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
ITIH3	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
LRG1	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
MYH7B	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
ACTG1	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
VWF	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
DNAH9	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
GPX3	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
C4B	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
CD44	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
CFHR2	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
ITIH3	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
LRG1	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	True	R8
MYH7B	Component: Extracellular region (FDR 0.014)	Component	GO:0005576	Extracellular region	0.0144	False	R8
ACTG1	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
VWF	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
DNAH9	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	False	R9
GPX3	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
C4B	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
CD44	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
CFHR2	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
ITIH3	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
LRG1	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	True	R9
MYH7B	Component: Extracellular space (FDR 0.014)	Component	GO:0005615	Extracellular space	0.0144	False	R9
ACTG1	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	True	R10
VWF	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	True	R10
DNAH9	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	False	R10
GPX3	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	True	R10
C4B	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	True	R10
CD44	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	True	R10
CFHR2	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	False	R10
ITIH3	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	True	R10
LRG1	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	True	R10
MYH7B	Component: Extracellular exosome (FDR 0.014)	Component	GO:0070062	Extracellular exosome	0.0144	False	R10
ACTG1	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	False	R15
VWF	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	True	R15
DNAH9	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	False	R15
GPX3	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	False	R15
C4B	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	True	R15
CD44	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	True	R15
CFHR2	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	False	R15
ITIH3	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	False	R15
LRG1	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	True	R15
MYH7B	TISSUES: Plasma cell (FDR 0.003)	TISSUES	BTO:0000392	Plasma cell	0.0029	False	R15
ACTG1	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
VWF	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
DNAH9	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	False	R16
GPX3	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
C4B	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
CD44	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
CFHR2	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
ITIH3	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
LRG1	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	True	R16
MYH7B	TISSUES: Digestive gland (FDR 0.006)	TISSUES	BTO:0000345	Digestive gland	0.0058	False	R16
ACTG1	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	True	R17
VWF	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	True	R17
DNAH9	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	False	R17
GPX3	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	False	R17
C4B	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	True	R17
CD44	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	True	R17
CFHR2	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	True	R17
ITIH3	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	True	R17
LRG1	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	True	R17
MYH7B	TISSUES: Liver (FDR 0.009)	TISSUES	BTO:0000759	Liver	0.0093	False	R17
ACTG1	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	True	R18
VWF	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	True	R18
DNAH9	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	True	R18
GPX3	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	True	R18
C4B	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	True	R18
CD44	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	True	R18
CFHR2	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	False	R18
ITIH3	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	False	R18
LRG1	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	False	R18
MYH7B	TISSUES: Lung (FDR 0.010)	TISSUES	BTO:0000763	Lung	0.0101	False	R18
ACTG1	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
VWF	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
DNAH9	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	False	R19
GPX3	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
C4B	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
CD44	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
CFHR2	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
ITIH3	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
LRG1	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
MYH7B	TISSUES: Viscus (FDR 0.026)	TISSUES	BTO:0001491	Viscus	0.0258	True	R19
ACTG1	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	False	R11
VWF	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	True	R11
DNAH9	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	False	R11
GPX3	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	False	R11
C4B	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	True	R11
CD44	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	False	R11
CFHR2	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	True	R11
ITIH3	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	False	R11
LRG1	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	False	R11
MYH7B	KEGG: Complement and coagulation cascades (FDR 0.003)	KEGG	hsa04610	Complement and coagulation cascades	0.0031	False	R11
ACTG1	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
VWF	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
DNAH9	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
GPX3	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
C4B	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	True	R13
CD44	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
CFHR2	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
ITIH3	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	True	R13
LRG1	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	True	R13
MYH7B	PMID: (2017) Novel protein biomarkers associated with coronary artery diseas (FDR 0.027)	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	False	R13
ACTG1	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
VWF	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
DNAH9	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
GPX3	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
C4B	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	True	R14
CD44	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
CFHR2	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
ITIH3	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	True	R14
LRG1	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	True	R14
MYH7B	PMID: (2022) Importance of Coagulation Factors as Critical Components of Pre (FDR 0.040)	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	False	R14
ACTG1	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
VWF	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
DNAH9	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
GPX3	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
C4B	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
CD44	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
CFHR2	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
ITIH3	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	True	R12
LRG1	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
MYH7B	NetworkNeighborAL: Complement and coagulation cascades, and Positive regulation of opsoni (FDR 9.6e-04)	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	False	R12
